Time,Content,Tag
12/23/2019,工业富联跨行业赋能教育领域 助力河南科大“双创”人才培养,0
1/1/2020,工业富联：第一届董事会第二十三次会议决议公告,0
1/15/2020,工业富联CEO郑弘孟：推进5G+工业互联网 服务全球制造,0
1/17/2020,“未来智造大讲堂”在杭举办 工业富联欲打造智造人才新高地,0
2/3/2020,工业富联回复e公司：能够运用全球生产优势抵御疫情风险,0
2/6/2020,工业富联：首次导入口罩生产线 并于2月5日顺利实现试产,1
2/6/2020,工业富联首次导入口罩生产线 月底可达日产200万只,1
2/7/2020,工业富联：公司生产的口罩优先用于员工内部生产防疫保障 对公司经营业绩影响较小,1
2/7/2020,工业富联：公司生产的口罩优先用于内部生产防疫保障,0
2/8/2020,工业富联云服务开发者中心免费开放 助力工业企业线上办公,0
3/6/2020,捐赠千台氢氧气雾化机 工业富联携手潓美医疗驰援武汉,1
3/6/2020,工业富联携手潓美医疗 向武汉捐赠1000台氢氧气雾化机,1
3/10/2020,工业富联推出无忧复工App 分享防疫解决方案,1
3/10/2020,工业富联推出“富集云无忧复工APP”,1
3/10/2020,工业富联推出“无忧复工”解决方案,0
3/30/2020,工业富联：2019年净利186亿元 同比增10%,2
3/30/2020,工业富联：2019年净利润增长10% 积极布局“新基建”,2
3/30/2020,工业富联：2019年净利同比增长10% 拟10派2元,2
3/31/2020,工业富联：第一届董事会第二十四次会议决议公告,0
3/31/2020,工业富联：关于召开2019年年度股东大会的通知,0
3/31/2020,工业富联：2019年年度主要财务指标,0
3/31/2020,工业富联董事长李军旗：复工复产已基本恢复正常,1
3/31/2020,工业富联董事长李军旗：公司业务覆盖新基建四领域,1
3/31/2020,工业富联发布2019年财报：业绩稳中有进，领跑“新基建”赛道,0
3/31/2020,工业富联复工复产已恢复正常 将紧抓新基建发展机遇,1
3/31/2020,工业富联去年净利增10% 董事长李军旗：未来将抓住新基建机遇,2
3/31/2020,工业富联：已生产2000多万只口罩,1
4/1/2020,去年业绩稳中有进 工业富联布局新基建四大领域,0
4/3/2020,工业富联：拟分红约39.71亿元 争做“新基建”领跑者,1
4/9/2020,工业富联战略投资凌云光技术 深耕工业互联网新基建,0
4/22/2020,【e公司直播】工业富联董事长李军旗：新基建下的智造之“变”,0
4/22/2020,工业富联：内部生产模式向智能制造转型升级 大力发展云计算业务及科技服务业务,0
4/22/2020,工业富联：2019年云计算科技服务业收入双增长,2
4/22/2020,工业富联：公司科技服务合作项目已在汽车零配件等多个领域落地,0
4/22/2020,工业富联：坚定不移实施“智能制造+工业互联网”双轮驱动战略,0
4/22/2020,工业富联：在新基建领域已具备较强“先发优势”,0
4/22/2020,工业富联：新基建快速发展 有利于公司科技服务业务推进,0
4/22/2020,工业富联：“灯塔工厂”整体解决方案已在领域落地,0
4/23/2020,工业富联董事长李军旗：融身新基建 创造新增长极,0
4/23/2020,工业富联董事长：公司已生产口罩5000多万只,1
4/23/2020,工业富联董事长：公司业务与新基建的四大大领域密切相关,0
4/23/2020,工业富联李军旗：已生产口罩5000多万只,1
4/23/2020,工业富联李军旗：采购的熔喷布价格已达每吨64万元,1
4/30/2020,工业富联：一季度营收800.54亿元 积极应对疫情冲击,1
4/30/2020,工业富联一季度呈现发展韧性,1
5/1/2020,工业富联第一季度盈利18.68亿同比减少35.01% 公允价值变动,-2
5/12/2020,工业富联：2019年股票期权与限制性股票激励计划首次授予限制性股票第一期解锁暨上市公告,1
5/19/2020,工业富联三年盈利逾500亿 2.38万名员工从事研发投入超净利一半,2
6/2/2020,工业富联与中信控股等公司签署合资合作协议,1
6/5/2020,工业富联：第一届董事会第二十六次会议决议公告,0
6/19/2020,工业富联：2019年年度权益分派实施公告,0
6/24/2020,工业富联：第一届董事会第二十七次会议决议公告,0
6/24/2020,工业富联：关于召开2020年第一次临时股东大会的通知,0
6/29/2020,工业富联董事长李军旗：制造业将构建全产业链、全价值链、全供应链的互联互通,0
6/29/2020,工业富联首席执行官郑弘孟：口罩累计交货量已达6200万只,1
6/29/2020,前瞻布局成果遍地开花 工业富联上市两周年云端庆祝生日,0
7/5/2020,工业富联：拟以协议转让方式收购鼎捷软件15.19%股份及签署一致行动人协议,1
7/5/2020,工业富联拟收购鼎捷软件部分股权并签署一致行动人协议,1
7/6/2020,工业互联网搭线 工业富联5.6亿“入主”鼎捷软件,1
7/6/2020,鼎捷软件：工业富联5.6亿元收购鼎捷软件15.19％股份 转让价格为14元/股,1
7/7/2020,工业富联5.6亿受让鼎捷软件15%股份 转让方神州信息将增利2亿占净利过半,1
7/9/2020,工业富联证券事务代表张宗信辞职 因工作安排调整,-1
7/10/2020,工业富联董事会、监事会完成换届选举及聘任高级管理人员,-1
7/30/2020,工业富联：公司系智能制造服务商和工业互联网整体解决方案提供商 暂无芯片方面业务,0
7/30/2020,鼎捷软件：与工业富联探索IT+OT融合周期较长 敬请广大投资者谨慎投资,-1
7/31/2020,鼎捷软件连续三日涨停 公司称与工业富联探索IT+OT融合周期较长,-1
8/11/2020,工业富联半年报：上半年净利润50.41亿元 同比下降7.98%,-2
8/11/2020,工业富联半年报出炉！营收同比增长3.6% 归母净利润同比降7.98%,-1
8/11/2020,工业富联发布2020年半年报：云计算需求井喷，拉动业务增长4.24%,2
8/11/2020,【公告抢先看】晚间重要公告：航天机电称未从事军品业务、工业富联上半年净利润50.41亿元……,0
8/11/2020,工业富联2020年上半年净利50.41亿下滑7.98% 营业成本同比增长,-1
8/11/2020,工业富联上半年扣非净利同比上涨7.7%,2
8/11/2020,工业富联：上半年营收同比增长3.6% 扣非净利润同比增长7.7%,2
8/12/2020,工业富联上半年营收1767亿 “云经济”拉动云计算业务增长,0
8/14/2020,工业富联董事长李军旗：深圳为工业富联的成长注入了创新基因,0
8/14/2020,工业富联上半年营收同比增3.6% 董事长李军旗：坚定“智能制造+工业互联网”双轮驱动,0
8/14/2020,工业富联李军旗：打造“智能制造+工业互联网”新产业生态,0
8/14/2020,工业富联郑弘孟：预计2023年中国工业互联网市场规模将突破万亿元,1
8/15/2020,工业富联董事长李军旗：云计算成为公司业绩重要增长点,0
9/9/2020,上半年“增收不增利”现金流为负 工业富联如何去“代工厂”标签成关键,0
9/9/2020,工业富联参与发起国内首个“工业互联网推进委员会”,0
9/9/2020,工业富联参与成立中国首个“工业互联网推进委员会”,0
9/12/2020,工业富联：第二届董事会第三次会议决议公告,0
9/14/2020,鼎捷软件：工业富联此次对公司进行战略投资目前双方在业务层面的合作仍处于探索阶段,0
9/17/2020,工业富联：2019年股票期权与限制性股票激励计划部分预留授予限制性股票第一期解锁暨上市公告,1
9/28/2020,工业富联董事长李军旗：核心技术突破急不来，需要脚踏实地,0
9/29/2020,工业富联董事长李军旗：核心技术突破要走好每一步,0
10/30/2020,工业富联：前三季净利88亿元 同比下降13.54%,-2
11/1/2020,工业富联前三季度净利88.05亿 同比下滑13.54%,-2
11/5/2020,深圳裕展精密自产自用口罩不合格 为工业富联孙公司,-1
12/3/2020,工业富联：首次公开发行限售股上市流通公告,1
12/7/2020,工业富联李军旗：后疫情时代企业“数智化”是大势所趋,0
12/8/2020,工业富联(601138.SH)：收购鼎捷软件15.19%股权事项获深交所合规性确认,1
12/8/2020,神州信息(000555.SZ)：子公司向工业富联转让鼎捷软件股份事项获深交所确认,1
12/14/2020,工业富联(601138.SH)：以协议转让方式收购鼎捷软件股份过户完成,1
12/31/2020,工业富联(601138.SH)：119.28万份股票期权及339.81万股限制性股票行权条件及解除限售条件成就,1
12/31/2020,工业富联(601138.SH)：拟使用募集资金向募投项目实施主体增资,1
1/12/2021,工业富联(601138.SH)：339.814万股限制性股票1月19日解禁,1
1/14/2021,鸿海系涨幅扩大 工业富联(601138.SH)一度逼近涨停,2
1/29/2021,工业富联：公司的Fii Cloud工业云平台与海尔卡奥斯同时入选国家工信部十大双跨工业互联网平台,1
1/29/2021,工业富联：公司控股股东鸿海集团有吉利签署合作协议并非工业富联合作项目,1
1/29/2021,工业富联：公司主营业务并无航空航天智能制造领域,-1
