Time,Content,Tag
12/20/2019,[大众公用]大众集团与民生银行加强银企合作关系、聚焦长远发展,1
12/23/2019,宁波中百委托中国民生银行购买5000万挂钩利率结构性存款,1
12/28/2019,民生银行：稳妥有序推进存量贷款定价基准转换工作,0
1/1/2020,民生银行：第七届董事会第十四次临时会议决议公告,0
1/7/2020,民生银行：公开发行不超500亿元可转债获银保监会批复,1
1/7/2020,嘉诚国际使用闲置资金1.5亿元购买民生银行综合财富管理服务,1
1/7/2020,民生银行：公开发行不超500亿元可转债获中国银保监会批复,1
1/8/2020,安正时尚向民生银行申请总额不超4亿元人民币的银行授信,0
1/14/2020,美诺华委托民生银行和交通银行 购买理财产品共计5000万元,1
1/28/2020,[长久物流]长久物流与交通银行、中国民生银行签署战略合作协议,1
2/6/2020,[长久物流]长久物流与交通银行、中国民生银行签署战略合作协议,1
2/12/2020,[民生银行]优化企业开户服务 推动改善营商环境--民生银行多渠道优化开户流程提升银行服务水平,0
2/12/2020,"[民生银行]金融创新出成果,服务企业再升级——民生银行“云注册”平台服务大众创业",1
2/12/2020,"[民生银行]防控疫情,民生银行多样化线上平台服务7x24小时为您守护!",0
2/13/2020,途虎养车携手民生银行，为工场店商户提供无抵押低息贷款,1
2/15/2020,央行开出3张千万级罚单！违反《反洗钱法》 民生银行、光大银行、华泰证券共被罚5190万元,-2
2/21/2020,东华软件向民生银行申请综合授信人民币4.5亿元,1
2/28/2020,民生银行：第七届董事会第十五次临时会议决议公告,0
3/5/2020,“最强男人之战”又要上演 为何是史玉柱先坐不住了？,0
3/5/2020,民生银行：关于召开2020年第一次临时股东大会的通知,0
3/6/2020,东方财富：子公司天天基金获民生银行上海分行20亿元授信额度,1
3/12/2020,苏宁315史上最长直播：每60分钟送出100瓶茅台购买资格,0
3/17/2020,民生银行：第七届董事会第十六次临时会议决议公告,0
3/30/2020,民生银行：2019年净利538亿元 同比增7%,2
3/31/2020,民生银行：第七届董事会第二十次会议决议公告,0
3/31/2020,民生银行：2019年年度主要财务指标,0
3/31/2020,民生银行2019年实现净利润538.19亿元 战略民企客户增长83.62%,2
4/3/2020,[太原重工]韩珍堂会见民生银行客人,0
4/7/2020,[长亮科技]科技赋能 | 长亮科技数据中台为民生银行信用卡打造最强大脑,0
4/8/2020,民生银行股东东方股份质押3780万股 用于股东方生产经营,-1
4/21/2020,民生银行：2020年第一次临时股东大会决议公告,0
5/12/2020,民生银行：关于召开2019年年度股东大会、2020年第一次A股类别股东大会和2020年第一次H股类别股东大会的通知,0
5/14/2020,账户现金离奇“消失”！民生银行薪盈宝”历险记“！APP陷阱防不胜防，美团用户被寄信用卡,-1
5/19/2020,民生银行股东东方股份质押2.05亿股 用于股东方生产经营,-1
5/22/2020,[赤峰黄金]民生银行到赤峰黄金考察调研,0
5/26/2020,民生银行：第七届董事会第十八次临时会议决议公告,0
6/3/2020,哈空调：拟向兴业银行哈尔滨分行、民生银行哈尔滨分行申请综合授信业务,0
6/5/2020,民生银行明星董事微博发声 史玉柱剑指三问题,1
6/5/2020,“空降”7天 高迎欣被提名为民生银行执行董事人选,-1
6/5/2020,民生银行：第七届董事会第十九次临时会议决议公告,0
6/6/2020,"""暗战""开始！史玉柱催""更"" 喊话民生银行董事会尽快换届 已有股东悄然增持",0
6/7/2020,"""暗战""！史玉柱催""更"" 喊话民生银行董事会尽快换届 已有股东悄然增持",0
6/17/2020,*ST金贵：与债权人民生银行长沙分行签订债务转移暨股东代偿协议,-1
6/30/2020,民生银行董事长洪崎辞职,-1
7/1/2020,民生银行董事长洪崎辞职 2019年薪酬458万元,-1
7/1/2020,民生银行：银保监会同意公司伦敦代表处升格为分行,1
7/2/2020,民生银行换帅：中行系高迎欣接任董事长 洪崎执掌六年资产规模翻倍至近7万亿,1
7/2/2020,民生银行换帅：中行系高迎欣接任董事长 洪崎执掌六年资产规模翻倍至近7万亿,1
7/7/2020,[东方通信]东方通信综合现金智能柜台成功中标民生银行采购项目,0
7/11/2020,[民生银行]民生银行上半年实现净利润296.18亿元,2
7/12/2020,[赛轮轮胎]赛轮集团与中国民生银行签订战略合作协议,0
7/13/2020,民生银行股东泛海国际质押824万股 用于股东方生产经营,0
7/15/2020,民生银行股东中国泛海质押5136万股 用于偿还借款,-1
7/16/2020,[东方集团]民生银行发布“民生农场”平台 东方粮仓成为首批12家入驻企业之一,1
7/17/2020,民生银行：银保监会派驻接管华夏人寿事项对本公司正常经营没有重大不利影响,-1
7/22/2020,刘永好又出手了 9个月增持民生银行33次,2
8/1/2020,[赤峰黄金]王建华会见民生银行呼和浩特分行行长助理任元庆一行,0
8/19/2020,民生银行股东东方股份质押6300万股 用于股东方生产经营,-1
8/24/2020,万达电影出质时光网所有股权,0
8/30/2020,民生银行2020年上半年净利284.53亿下滑10.02% 加大了资产处置力度,-2
8/31/2020,刘永好史玉柱仍在列 这份民生银行董事会候选人名单还有何玄机？,0
9/4/2020,民生银行(01988.HK)：东方股份质押5800万股A股,-1
9/4/2020,民生银行股东东方股份质押5800万股 用于股东方生产经营,-1
9/10/2020,民生银行股东东方股份质押3704万股 用于股东方生产经营,-1
9/14/2020,民生银行(600016.SH)：中国泛海解押、质押均为3666万股,-1
